Epoch,Train loss,Class loss,Box loss,GIoU,Learning rate,Val Precision,Val Recall,val_mAP50,val_mAP50_95,Epoch Time (s)
1,5.66483,0.64995,0.03822,0.09167,1.000000e-04,0.9468,0.9277,0.9629,0.8335,211.79
2,4.54657,0.42416,0.03693,0.08906,1.000000e-04,0.9554,0.9582,0.9787,0.8548,225.91
3,4.1958,0.38202,0.03574,0.08687,1.000000e-04,0.9664,0.9607,0.9835,0.862,223.05
4,4.09309,0.35617,0.03535,0.08639,1.000000e-04,0.9729,0.9613,0.9843,0.8627,226.18
5,3.9884,0.34497,0.03446,0.08405,1.000000e-04,0.9726,0.9693,0.9852,0.8669,223.63
6,3.90359,0.33388,0.03433,0.08384,1.000000e-04,0.9737,0.9669,0.9854,0.8677,223.88
7,3.87628,0.33314,0.03377,0.08246,1.000000e-04,0.9733,0.961,0.9855,0.8683,223.77
8,3.80953,0.32813,0.03353,0.08189,1.000000e-04,0.9727,0.9697,0.9863,0.8689,221.93
9,3.73268,0.3242,0.03293,0.08087,1.000000e-04,0.9766,0.9654,0.9873,0.8725,223.29
10,3.68724,0.31449,0.03271,0.0807,1.000000e-04,0.9682,0.972,0.9865,0.8705,223.78
11,3.66809,0.31236,0.03208,0.08013,1.000000e-04,0.969,0.9772,0.9876,0.8715,223.75
12,3.66858,0.30746,0.03214,0.07979,1.000000e-04,0.9742,0.966,0.9864,0.8717,221.52
13,3.52287,0.29998,0.03145,0.07866,1.000000e-04,0.9757,0.9658,0.9872,0.8738,218.93
14,3.49805,0.30027,0.03138,0.07812,1.000000e-04,0.9745,0.9741,0.9869,0.8723,222.56
15,3.49037,0.29468,0.0311,0.07768,1.000000e-04,0.9747,0.9717,0.9867,0.8731,222.51
16,3.4518,0.29367,0.03084,0.07707,1.000000e-04,0.9755,0.9688,0.9856,0.8727,224.03
17,3.43127,0.29257,0.03035,0.07612,1.000000e-04,0.9708,0.9715,0.9858,0.8725,222.7
18,3.42686,0.29021,0.03014,0.07601,1.000000e-04,0.9731,0.9741,0.9861,0.8727,222.6
19,3.41522,0.28943,0.03002,0.07602,1.000000e-04,0.9762,0.9745,0.9876,0.8741,224.45
20,3.33957,0.28598,0.02973,0.07517,1.000000e-04,0.974,0.9743,0.9865,0.8738,225.16
21,3.31486,0.28251,0.02965,0.07508,1.000000e-04,0.9755,0.9723,0.9867,0.8743,223.92
22,3.26521,0.27991,0.02923,0.07413,1.000000e-04,0.9786,0.97,0.9858,0.8731,223.19
23,3.22898,0.27911,0.02894,0.07378,1.000000e-04,0.9711,0.9742,0.9863,0.8731,222.87
